a,b,c,,n2,,y1,y2,n3,V,r,roundness
[mm],[mm],[mm],n_xy,n_xz,n_yz,c/a,b/a,,[mm3],,
35.46,30.27,25.75,25,25,25,0.73,0.85,10,221078.6,2.5,0.1
35.46,30.27,25.75,16.418,21.321,25,0.73,0.85,9.369,210972,3.52,0.14
35.46,30.27,25.75,9.478,10.582,13.195,0.73,0.85,6.472,201404,6.83,0.27
35.46,30.27,25.75,7.18,7.241,9.209,0.73,0.85,4.97,192273.8,8.25,0.32
35.46,30.27,25.75,5.318,5.537,7.166,0.73,0.85,4.239,183568.3,9.78,0.38
35.46,30.27,25.75,4.206,4.498,5.758,0.73,0.85,3.725,175224,12.38,0.48
35.46,30.27,25.75,3.645,4.043,5.105,0.73,0.85,3.344,167271.6,13.25,0.51
35.46,30.27,25.75,3.13,3.63,4.425,0.73,0.85,3.046,159676.7,15.49,0.6
35.46,30.27,25.75,2.75,3.255,3.978,0.73,0.85,2.808,152448.5,16.94,0.66
35.46,30.27,25.75,2.534,2.855,3.646,0.73,0.85,2.609,145541.7,17.96,0.7
35.2,30.27,25.75,2.39,2.712,3.27,0.73,0.86,2.466,138942.5,19.15,0.74
34.62,30.27,25.75,2.341,2.659,2.873,0.74,0.87,2.369,132634,19.95,0.77
34.54,30.26,25.75,2.15,2.326,2.717,0.75,0.88,2.24,126600.5,20.35,0.79
34.02,30.11,25.75,2.084,2.246,2.599,0.76,0.89,2.171,120873.9,21.28,0.83
33.49,29.35,25.75,2.096,2.229,2.569,0.77,0.88,2.158,115395.2,21.52,0.84
32.65,29.29,25.75,2.051,2.242,2.41,0.79,0.9,2.112,110145.5,21.87,0.85
32.06,28.71,25.75,2.084,2.192,2.356,0.8,0.9,2.092,105155.8,21.9,0.85
31.63,28.68,25.66,2.052,2.118,2.223,0.81,0.91,2.028,100385.3,21.96,0.86
31.37,28.27,25.65,1.995,1.989,2.155,0.82,0.9,2,95846.6,21.95,0.86
30.93,27.71,25.32,2.073,2.01,2.116,0.82,0.9,2,91513.5,21.95,0.87
30.67,27.53,25.3,1.994,1.903,2.017,0.82,0.9,1.982,87373.4,21.95,0.87
29.34,27.36,25,2.034,1.993,1.999,0.85,0.93,2,83419,22.27,0.89
29.07,26.74,25,1.999,1.973,2.01,0.86,0.92,1.987,79645.4,22.3,0.89
28.65,26.65,24.7,1.99,1.896,1.98,0.86,0.93,1.954,76039.5,22.35,0.9
28.28,25.9,24.7,2.014,1.845,1.933,0.87,0.92,1.945,72606.1,22.44,0.91
27.99,25.71,24.24,1.958,1.847,1.909,0.87,0.92,2,69325.5,22.4,0.92
27.48,25.29,24.24,1.963,1.775,1.864,0.88,0.92,1.905,66189.4,22.4,0.92
26.72,25.14,24.07,1.921,1.798,1.84,0.9,0.94,1.895,63200.3,22.36,0.93
25.87,25.01,23.5,1.969,1.919,1.858,0.91,0.97,1.924,60347,21.78,0.93
25.78,24.48,22.99,1.886,1.928,1.92,0.89,0.95,1.924,57616.1,21.45,0.93
25.4,23.55,22.92,1.954,15.611,1.989,0.9,0.93,2,55012.2,21.32,0.93
25.25,23.24,22.59,1.914,1.836,1.993,0.89,0.92,1.92,52528.8,,0
24.7,23.16,22.17,1.891,25,1.94,0.9,0.94,1.916,50153.4,,0
23.72,22.9,22.1,1.96,1.911,1.906,0.93,0.97,1.933,47887.3,,0
23.72,22.8,21.42,1.854,1.905,1.938,0.9,0.96,1.914,45727.2,,0
23.36,22.68,20.9,1.795,1.922,1.964,0.89,0.97,1.911,43660.5,,0
22.21,22.27,20.66,1.95,2.041,1.961,0.93,1,1.978,41685.7,,0
21.61,21.83,20.28,1.993,2.1,1.981,0.94,1.01,2,39804.4,,0
21.5,21.54,19.89,1.958,2.044,1.985,0.93,1,2,38001,,0
21.07,21.32,19.65,1.963,2.09,1.956,0.93,1.01,1.994,36286.1,,0
20.74,20.89,19.46,1.941,2.074,1.995,0.94,1.01,1.992,34644.3,,0
20.63,20.54,19.33,1.918,2.003,2.026,0.94,1,1.958,33077.7,,0
20.4,20.3,18.86,1.912,1.989,1.962,0.92,1,1.959,31580.9,,0
19.77,20.07,18.71,1.952,2.04,1.928,0.95,1.02,1.968,30152.3,,0
19.51,19.83,18.59,1.886,1.975,1.91,0.95,1.02,1.94,28792.8,,0
19.15,19.41,18.37,1.908,1.989,1.903,0.96,1.01,2,27492,,0
18.88,18.84,18.18,1.99,1.96,1.941,0.96,1,1.968,26253.2,,0
18.16,18.66,17.98,2.021,2.027,1.935,0.99,1.03,1.996,25068.9,,0
